"test_code","qc_code","date","analyte","value"
"PATY","C-PATY1",2020-04-13,"phe",73.2
"PATY","C-PATY2",2020-04-13,"phe",496
"PATY","C-PATY3",2020-04-13,"phe",1450
"PATY","C-PATY1",2020-04-14,"phe",64.5
"PATY","C-PATY2",2020-04-14,"phe",488
"PATY","C-PATY3",2020-04-14,"phe",1560
"PATY","C-PATY1",2020-04-16,"phe",57.9
"PATY","C-PATY2",2020-04-16,"phe",489
"PATY","C-PATY3",2020-04-16,"phe",1360
"PATY","C-PATY1",2020-04-17,"phe",56.7
"PATY","C-PATY2",2020-04-17,"phe",453
"PATY","C-PATY3",2020-04-17,"phe",1460
"PATY","C-PATY1",2020-04-20,"phe",60.5
"PATY","C-PATY2",2020-04-20,"phe",461
"PATY","C-PATY3",2020-04-20,"phe",1300
"PATY","C-PATY1",2020-04-22,"phe",61.4
"PATY","C-PATY1",2020-04-22,"phe",61.5
"PATY","C-PATY2",2020-04-22,"phe",517
"PATY","C-PATY2",2020-04-22,"phe",519
"PATY","C-PATY3",2020-04-22,"phe",1370
"PATY","C-PATY3",2020-04-22,"phe",1390
"PATY","C-PATY1",2020-04-23,"phe",61.2
"PATY","C-PATY2",2020-04-23,"phe",449
"PATY","C-PATY3",2020-04-23,"phe",1330
"PATY","C-PATY1",2020-04-24,"phe",56.7
"PATY","C-PATY2",2020-04-24,"phe",530
"PATY","C-PATY3",2020-04-24,"phe",1400
"PATY","C-PATY1",2020-04-27,"phe",53.5
"PATY","C-PATY2",2020-04-27,"phe",506
"PATY","C-PATY3",2020-04-27,"phe",1450
"PATY","C-PATY1",2020-04-29,"phe",55.3
"PATY","C-PATY2",2020-04-29,"phe",430
"PATY","C-PATY3",2020-04-29,"phe",1410
"PATY","C-PATY1",2020-05-01,"phe",59.3
"PATY","C-PATY2",2020-05-01,"phe",455
"PATY","C-PATY3",2020-05-01,"phe",1490
"PATY","C-PATY1",2020-05-04,"phe",54.3
"PATY","C-PATY2",2020-05-04,"phe",455
"PATY","C-PATY3",2020-05-04,"phe",1300
"PATY","C-PATY1",2020-05-05,"phe",56.2
"PATY","C-PATY2",2020-05-05,"phe",453
"PATY","C-PATY3",2020-05-05,"phe",1400
"PATY","C-PATY1",2020-05-06,"phe",52
"PATY","C-PATY1",2020-05-06,"phe",64.4
"PATY","C-PATY2",2020-05-06,"phe",446
"PATY","C-PATY2",2020-05-06,"phe",470
"PATY","C-PATY3",2020-05-06,"phe",1550
"PATY","C-PATY3",2020-05-06,"phe",1520
"PATY","C-PATY1",2020-05-08,"phe",62.8
"PATY","C-PATY2",2020-05-08,"phe",471
"PATY","C-PATY3",2020-05-08,"phe",1330
"PATY","C-PATY1",2020-05-12,"phe",56
"PATY","C-PATY2",2020-05-12,"phe",413
"PATY","C-PATY3",2020-05-12,"phe",1360
"PATY","C-PATY1",2020-05-14,"phe",58
"PATY","C-PATY2",2020-05-14,"phe",420
"PATY","C-PATY3",2020-05-14,"phe",1420
"PATY","C-PATY1",2020-05-15,"phe",61.5
"PATY","C-PATY2",2020-05-15,"phe",430
"PATY","C-PATY3",2020-05-15,"phe",1340
"PATY","C-PATY1",2020-05-18,"phe",60.8
"PATY","C-PATY2",2020-05-18,"phe",481
"PATY","C-PATY3",2020-05-18,"phe",1500
"PATY","C-PATY1",2020-05-20,"phe",56.4
"PATY","C-PATY2",2020-05-20,"phe",428
"PATY","C-PATY3",2020-05-20,"phe",1470
"PATY","C-PATY1",2020-05-22,"phe",60.5
"PATY","C-PATY2",2020-05-22,"phe",424
"PATY","C-PATY3",2020-05-22,"phe",1470
"PATY","C-PATY1",2020-05-26,"phe",57.6
"PATY","C-PATY1",2020-05-26,"phe",60.7
"PATY","C-PATY2",2020-05-26,"phe",427
"PATY","C-PATY2",2020-05-26,"phe",426
"PATY","C-PATY3",2020-05-26,"phe",1470
"PATY","C-PATY3",2020-05-26,"phe",1480
"PATY","C-PATY1",2020-05-27,"phe",51.4
"PATY","C-PATY2",2020-05-27,"phe",442
"PATY","C-PATY3",2020-05-27,"phe",1480
"PATY","C-PATY1",2020-05-28,"phe",57.5
"PATY","C-PATY2",2020-05-28,"phe",448
"PATY","C-PATY3",2020-05-28,"phe",1530
"PATY","C-PATY1",2020-05-29,"phe",56
"PATY","C-PATY2",2020-05-29,"phe",444
"PATY","C-PATY3",2020-05-29,"phe",1580
"PATY","C-PATY1",2020-06-02,"phe",58.9
"PATY","C-PATY2",2020-06-02,"phe",482
"PATY","C-PATY3",2020-06-02,"phe",1480
"PATY","C-PATY1",2020-06-03,"phe",56.6
"PATY","C-PATY2",2020-06-03,"phe",459
"PATY","C-PATY3",2020-06-03,"phe",1400
"PATY","C-PATY1",2020-06-04,"phe",50.9
"PATY","C-PATY2",2020-06-04,"phe",477
"PATY","C-PATY3",2020-06-04,"phe",1590
"PATY","C-PATY1",2020-06-05,"phe",71.8
"PATY","C-PATY2",2020-06-05,"phe",481
"PATY","C-PATY3",2020-06-05,"phe",1430
"PATY","C-PATY1",2020-06-08,"phe",61.1
"PATY","C-PATY2",2020-06-08,"phe",531
"PATY","C-PATY3",2020-06-08,"phe",1350
"PATY","C-PATY1",2020-06-09,"phe",54
"PATY","C-PATY2",2020-06-09,"phe",483
"PATY","C-PATY3",2020-06-09,"phe",1360
"PATY","C-PATY1",2020-06-10,"phe",62.2
"PATY","C-PATY2",2020-06-10,"phe",449
"PATY","C-PATY3",2020-06-10,"phe",1400
"PATY","C-PATY1",2020-06-11,"phe",60.6
"PATY","C-PATY2",2020-06-11,"phe",487
"PATY","C-PATY3",2020-06-11,"phe",1510
"PATY","C-PATY1",2020-06-12,"phe",53.3
"PATY","C-PATY2",2020-06-12,"phe",436
"PATY","C-PATY3",2020-06-12,"phe",1480
"PATY","C-PATY1",2020-06-15,"phe",58.8
"PATY","C-PATY2",2020-06-15,"phe",446
"PATY","C-PATY3",2020-06-15,"phe",1540
"PATY","C-PATY1",2020-06-16,"phe",62
"PATY","C-PATY2",2020-06-16,"phe",457
"PATY","C-PATY3",2020-06-16,"phe",1470
"PATY","C-PATY1",2020-06-17,"phe",66.5
"PATY","C-PATY2",2020-06-17,"phe",460
"PATY","C-PATY3",2020-06-17,"phe",1450
"PATY","C-PATY1",2020-06-18,"phe",57.5
"PATY","C-PATY2",2020-06-18,"phe",447
"PATY","C-PATY3",2020-06-18,"phe",1480
"PATY","C-PATY1",2020-06-19,"phe",60.2
"PATY","C-PATY2",2020-06-19,"phe",432
"PATY","C-PATY3",2020-06-19,"phe",1530
"PATY","C-PATY1",2020-06-22,"phe",62.5
"PATY","C-PATY2",2020-06-22,"phe",441
"PATY","C-PATY3",2020-06-22,"phe",1470
"PATY","C-PATY1",2020-06-23,"phe",55.1
"PATY","C-PATY2",2020-06-23,"phe",423
"PATY","C-PATY3",2020-06-23,"phe",1420
"PATY","C-PATY1",2020-06-24,"phe",54.3
"PATY","C-PATY2",2020-06-24,"phe",439
"PATY","C-PATY3",2020-06-24,"phe",1340
"PATY","C-PATY1",2020-06-25,"phe",67.3
"PATY","C-PATY2",2020-06-25,"phe",462
"PATY","C-PATY3",2020-06-25,"phe",1560
"PATY","C-PATY1",2020-06-26,"phe",61.2
"PATY","C-PATY2",2020-06-26,"phe",451
"PATY","C-PATY3",2020-06-26,"phe",1500
"PATY","C-PATY1",2020-06-29,"phe",66
"PATY","C-PATY2",2020-06-29,"phe",451
"PATY","C-PATY3",2020-06-29,"phe",1520
"PATY","C-PATY1",2020-06-30,"phe",55.8
"PATY","C-PATY2",2020-06-30,"phe",433
"PATY","C-PATY3",2020-06-30,"phe",1590
"PATY","C-PATY1",2020-07-01,"phe",63.4
"PATY","C-PATY2",2020-07-01,"phe",460
"PATY","C-PATY3",2020-07-01,"phe",1470
"PATY","C-PATY1",2020-07-02,"phe",59.6
"PATY","C-PATY2",2020-07-02,"phe",483
"PATY","C-PATY3",2020-07-02,"phe",1450
"PATY","C-PATY1",2020-07-03,"phe",63
"PATY","C-PATY2",2020-07-03,"phe",455
"PATY","C-PATY3",2020-07-03,"phe",1410
"PATY","C-PATY1",2020-07-07,"phe",63.7
"PATY","C-PATY2",2020-07-07,"phe",478
"PATY","C-PATY3",2020-07-07,"phe",1410
"PATY","C-PATY1",2020-07-08,"phe",65
"PATY","C-PATY2",2020-07-08,"phe",450
"PATY","C-PATY3",2020-07-08,"phe",1420
"PATY","C-PATY1",2020-07-09,"phe",60.5
"PATY","C-PATY2",2020-07-09,"phe",506
"PATY","C-PATY3",2020-07-09,"phe",1350
"PATY","C-PATY1",2020-07-10,"phe",64.9
"PATY","C-PATY2",2020-07-10,"phe",475
"PATY","C-PATY3",2020-07-10,"phe",1390
"PATY","C-PATY1",2020-07-13,"phe",62.4
"PATY","C-PATY2",2020-07-13,"phe",512
"PATY","C-PATY3",2020-07-13,"phe",1390
"PATY","C-PATY1",2020-07-14,"phe",60.4
"PATY","C-PATY2",2020-07-14,"phe",489
"PATY","C-PATY3",2020-07-14,"phe",1380
"PATY","C-PATY1",2020-07-15,"phe",52.7
"PATY","C-PATY2",2020-07-15,"phe",464
"PATY","C-PATY3",2020-07-15,"phe",1370
"PATY","C-PATY1",2020-07-16,"phe",57.8
"PATY","C-PATY2",2020-07-16,"phe",438
"PATY","C-PATY3",2020-07-16,"phe",1350
"PATY","C-PATY1",2020-07-17,"phe",53.6
"PATY","C-PATY1",2020-07-17,"phe",57.7
"PATY","C-PATY2",2020-07-17,"phe",403
"PATY","C-PATY2",2020-07-17,"phe",467
"PATY","C-PATY3",2020-07-17,"phe",1290
"PATY","C-PATY3",2020-07-17,"phe",1390
"PATY","C-PATY1",2020-07-20,"phe",48.4
"PATY","C-PATY2",2020-07-20,"phe",436
"PATY","C-PATY3",2020-07-20,"phe",1320
"PATY","C-PATY1",2020-07-21,"phe",54.1
"PATY","C-PATY2",2020-07-21,"phe",410
"PATY","C-PATY3",2020-07-21,"phe",1440
"PATY","C-PATY1",2020-07-22,"phe",57.6
"PATY","C-PATY2",2020-07-22,"phe",422
"PATY","C-PATY3",2020-07-22,"phe",1370
"PATY","C-PATY1",2020-07-23,"phe",57
"PATY","C-PATY1",2020-07-23,"phe",58.6
"PATY","C-PATY2",2020-07-23,"phe",410
"PATY","C-PATY2",2020-07-23,"phe",458
"PATY","C-PATY3",2020-07-23,"phe",1200
"PATY","C-PATY3",2020-07-23,"phe",1430
"PATY","C-PATY1",2020-07-24,"phe",54.5
"PATY","C-PATY2",2020-07-24,"phe",441
"PATY","C-PATY3",2020-07-24,"phe",1480
"PATY","C-PATY1",2020-07-27,"phe",57.1
"PATY","C-PATY2",2020-07-27,"phe",459
"PATY","C-PATY3",2020-07-27,"phe",1400
"PATY","C-PATY1",2020-07-28,"phe",53.1
"PATY","C-PATY2",2020-07-28,"phe",435
"PATY","C-PATY3",2020-07-28,"phe",1400
"PATY","C-PATY1",2020-07-29,"phe",54.5
"PATY","C-PATY2",2020-07-29,"phe",453
"PATY","C-PATY3",2020-07-29,"phe",1490
"PATY","C-PATY1",2020-07-30,"phe",51.5
"PATY","C-PATY2",2020-07-30,"phe",454
"PATY","C-PATY3",2020-07-30,"phe",1280
"PATY","C-PATY1",2020-07-31,"phe",61.5
"PATY","C-PATY2",2020-07-31,"phe",460
"PATY","C-PATY3",2020-07-31,"phe",1350
"PATY","C-PATY1",2020-08-03,"phe",55.5
"PATY","C-PATY2",2020-08-03,"phe",427
"PATY","C-PATY3",2020-08-03,"phe",1330
"PATY","C-PATY1",2020-08-04,"phe",58.9
"PATY","C-PATY2",2020-08-04,"phe",447
"PATY","C-PATY3",2020-08-04,"phe",1350
"PATY","C-PATY1",2020-08-05,"phe",56.3
